212	hsa-let-7g	17761882,26497684
213	hsa-let-7g-3p	26497684,29986767
214	hsa-let-7i	17761882
215	hsa-miR-1-3p	21295623,26497684,29986767,33425889,33800495
216	hsa-miR-100-5p	29986767
217	hsa-miR-101-3p	29986767,33328976,34234930
218	hsa-miR-103	33536877
219	hsa-miR-103-1	17761882
220	hsa-miR-103a-3p	25596505,26497684,29986767,32942015,34184078
221	hsa-miR-105-1	17761882
222	hsa-miR-106a-3p	23492776,28260060,29986767
223	hsa-miR-106a-5p	29986767,34184078
224	hsa-miR-106b-3p	29986767,33045885
225	hsa-miR-106b-5p	29986767,34540003
226	hsa-miR-107	29986767,33536877
227	hsa-miR-10a-3p	26497684,29986767
228	hsa-miR-10a-5p	26497684,29986767
229	hsa-miR-122-5p	29986767,33800495,35111747
230	hsa-miR-124-3p	28439401,29986767,31228597,31799764,32492291,32860338
231	hsa-miR-1246	29986767,33748099,35111747
232	hsa-miR-125a-3p	17761882,23543376,29986767,34921567
233	hsa-miR-125b-5p	29986767,33042470
234	hsa-miR-126-3p	22003392,24559646,26047984,26497684,29986767,33161106
235	hsa-miR-127-3p	23771700,26497684,29986767,31799764
236	hsa-miR-1277-5p	29986767,33069733,34967697
237	hsa-miR-128-1-5p	17761882,29986767
238	hsa-miR-128-3p	29986767,31799764,32715657,35111747
239	hsa-miR-129-5p	25465742,29986767
240	hsa-miR-1298-5p	29986767,35111747
241	hsa-miR-1301-3p	29986767,32712773,33800495
242	hsa-miR-1307-3p	23938262,29986767,35111747
243	hsa-miR-130a-3p	17761882,23771700,29986767
244	hsa-miR-132-3p	17761882,23771700,25465742,26497684,29986767,31799764,33166640,33817253,34514556
245	hsa-miR-133a-3p	29986767,32713934,33800495
246	hsa-miR-133b	17761882,20468068,22245218,24742361,25218846,28690499,29986767,33215437,33425889,34315950
247	hsa-miR-134-5p	29986767,31761328,33800495
248	hsa-miR-135b-5p	29935433,29986767,33726823
249	hsa-miR-136-3p	17761882,26497684,29986767,31799764,32860338
250	hsa-miR-137-3p	23543376,23771700,29986767,35049152
251	hsa-miR-138-2-3p	17761882,29986767
252	hsa-miR-138-5p	29986767,33045885,34783303
253	hsa-miR-139-3p	17761882,29986767
254	hsa-miR-139-5p	29986767,31799764
255	hsa-miR-141-3p	23771700,29631008,29935433,29986767,33070521,33204711,33800495,35199307
256	hsa-miR-142-3p	17761882,29986767
257	hsa-miR-143-3p	17761882,23717260,29986767,33748099
258	hsa-miR-144-3p	17761882,23939409,29986767,32492291,33800495,35111747
259	hsa-miR-145-3p	23771700,29986767,32733234
260	hsa-miR-146a-3p	29986767,32585840
261	hsa-miR-146a-5p	29986767,33800495,33817253
262	hsa-miR-148a-3p	23939409,29986767,32807513
263	hsa-miR-148b-3p	24959119,29986767
264	hsa-miR-150-3p	23717260,23771700,29986767,32077254
265	hsa-miR-150-5p	23771700,29986767,34515176
266	hsa-miR-151a-3p	22003392,29986767,35111747
267	hsa-miR-151a-5p	22003392,29986767,33800495,34315539
268	hsa-miR-153-1	17761882
269	hsa-miR-153-3p	25071443,26116522,26497684,29986767,31799764,31800144,35137671
270	hsa-miR-154-5p	29986767,31799764,32860338
271	hsa-miR-155-3p	29986767,32585840,32728898
272	hsa-miR-155-5p	29986767,35111747
273	hsa-miR-15a-3p	17761882,29986767
274	hsa-miR-15a-5p	29986767,32807513
275	hsa-miR-15b-5p	29986767,33045885,33506036
276	hsa-miR-16-1-3p	23771700,25054189,29986767
277	hsa-miR-16-2-3p	21295623,23771700,26497684,29986767
278	hsa-miR-17-3p	17761882,23771700,29986767
279	hsa-miR-17-5p	23771700,29986767
280	hsa-miR-181c-3p	23543376,23771700,29986767,33070521
281	hsa-miR-188-3p	23771700,29986767
282	hsa-miR-188-5p	23771700,29986767
283	hsa-miR-193a-3p	23543376,29986767,33070521
284	hsa-miR-193b-3p	29986767,34018309
285	hsa-miR-199a-3p	22003392,23939409,29935433,29986767,32151238,33494069,34315539
286	hsa-miR-19b-3p	22003392,24648008,25675938,26497684,29986767
287	hsa-miR-200a-3p	17761882,23939409,29986767,33800495
