gene	PMID_PMCID	evidence
ENSG00000204472	28769786,19276553,28409032,30740124,31220543	DisGeNET
ENSG00000181019	15694256,17188257,17188257,11688992,31358653	DisGeNET
ENSG00000170899	16510128,28672859,16054170,29681884,16054170	DisGeNET
ENSG00000167244	18085551,19276553,28081695,19276553	DisGeNET
ENSG00000142185	30625984,27957685,31004593,27957685	DisGeNET
ENSG00000254647	19276553,18085551,31354022	DisGeNET
ENSG00000197081	24152121,19276553,27509067	DisGeNET
ENSG00000198502	27713094,22807207,27713094	DisGeNET
ENSG00000233276	18853169,15824117	DisGeNET
ENSG00000204389	14605873,15585408	DisGeNET
ENSG00000111674	30236862,31733322	DisGeNET
ENSG00000207613	28770951,28770951	DisGeNET
ENSG00000182979	27044752,27044752	DisGeNET
ENSG00000104921	10212304,25475535	DisGeNET
ENSG00000165140	18353766,20823226	DisGeNET
ENSG00000019991	16791285,16791285	DisGeNET
ENSG00000166170	28348719,28348719	DisGeNET
ENSG00000171105	8938265,19276553	DisGeNET
ENSG00000105695	27766424,19276553	DisGeNET
ENSG00000213231	25475535,25475535	DisGeNET
ENSG00000153234	17890097,11121187,29291419,10216261,29429051,24126627,18923405,15966003,19065535,15211629,12815740,11113533,22764233,21936000,10506516	DisGeNET
ENSG00000171564	23233872	DisGeNET
ENSG00000170606	31408661,29107085,30113007,29471019,24279716,26135068,11200684,28230968,22186119,26742515,22544056,28810585,18182047,29183796,29704482	DisGeNET
ENSG00000082701	31123295,29429051,21159074,21130530,24586351,23628795,16315267,24779391,19573950,25394490,29190615,24681994,31325476,23094836,29288045	DisGeNET
ENSG00000109971	30983487,27133439,23492776,26526034,20697033,22651796,22843682,23046827,19505575,29989488,17241115,25207598,29167402	DisGeNET
ENSG00000125538	27640071,20427258,12052540,31704453,17562931,17562931,12070246,28856541,28769786,30815845,27356916,30554092,30063943,17458495,30344306	DisGeNET
ENSG00000107859	18420308,20033184,21138504,12702666,20468068,24394914,12829322,21565251,30104963,19345444,24525476,31310388,21524731,17905480,11724911	DisGeNET
ENSG00000108064	18248889,24184878,18980857,19925850,31065234,31689514,23939409,22361577,17537576,24768991	DisGeNET
ENSG00000078401	19276553	DisGeNET
ENSG00000146918	25475535	DisGeNET
ENSG00000185736	25475535	DisGeNET
ENSG00000086548	25475535	DisGeNET
ENSG00000142937	18353766	DisGeNET
ENSG00000130202	25475535	DisGeNET
ENSG00000082293	25475535	DisGeNET
ENSG00000162490	25475535	DisGeNET
ENSG00000089009	18353766	DisGeNET
ENSG00000188846	18353766	DisGeNET
ENSG00000168135	18619942	DisGeNET
ENSG00000196660	25149416	DisGeNET
ENSG00000177156	23233872	DisGeNET
ENSG00000198242	18353766	DisGeNET
ENSG00000174469	25475535	DisGeNET
ENSG00000078018	30236862	DisGeNET
ENSG00000173262	25475535	DisGeNET
ENSG00000213934	25475535	DisGeNET
