gene	PMID_PMCID	evidence
ENSG00000006210	27021022,19748551,19368990,25195598,26403659,27378696,24655482,23077045,21400565,34342811,31182619,21266082,34845234	RNAdisease,PubChem
ENSG00000006712	15362717,30211310	PubChem
ENSG00000007171	22847254,19110419,29626798,19117642,21943492,29274035,30107806,32423817,18005341,26691871,29321620,19276172,31049133,20081243,32353516,28686317,26157004,34070429,28800639,18235988,20082297,17241115,21512103,22638860,23376588,28534083,26881113,20817067,33198771,30165873,19908287,30475154,25907448,21858193,25634431,32474958,24919816,12490535,27927222,21744117,21132259,25511018,32540418,25403619,25447229,32658590,25491263,32556930,25824039,25908255,16242643,16257489,24973649,32024542,17562359,12871835,25752913,28208679,24844147,9932444,26051538,26081143,33049992,16419087,16303147,25968946,21112353,21151450,21092260,21219959,27498777,27535828,27549180,16096758,16023589,34364303,34297967,34384037,22018032,22107709,22742420,29267220,29207498,29198015,17982883,18047562,20532254,20566832,26386394,26364587,19794909,34162132,23422467,12846982,21685323,26555034,31351366,22330755,27697481,31232472,23938252,28853308,28185818,31251998,23811724,17593875,30810907,30852286,12655043,30486773,30463564,30466621,30529726,30518111,14690537,35054997,29570770,19154146,15282173,27919828,27975173,27984197,33146867,33687725,33641782,27846826,11850061,11778847,11812267,17363222,28950995,28972959,18415676,24269587,19558798,19576698,19582534,19583997,32087283,32088201,10630682,26231448,21241673,21246298,27313094,11526957,12626429,18648914,18663495,24946750,24946862,25243152,25586882,10407101,15949131,11124893,33900518,33905875,33617931,33515429,21419832,11724929,28369131,28577132,28623717,28640632,22804247,12926538,12938735,12880486,26854247,26872456,34587406,28861668,18840677,22512552,23500882,29968707,23977987,21737065,23384839,14981185,35418806,24795109,19401171,28473732,12417252,29783643,29709151,30949950,29534526,29904013,30011811,30200569,23698769,30433834,30400118,18985485,15051322,34887364,34890997,29564809,30995031,17267111,27956075,23176387,23419834,23471013,23276669,23296837,31130327,25595674,27618286,22449381,17499198	PubChem
ENSG00000007174	30107806,32432571,32526245,29621548,35589918,34274951,33448372,32612143,30995872,33085068,34070429,28672025,27156691,25890150,29154036,24746617,33802409,34445767,27914807,22227454,30076526,23570735,25387690,24040063,30054538,29329581,31986466,34593974,18716210,32943057,21384098,21554732,25536118,20850531,32077254,32540418,30849448,31770590,31887307,25483920,32556930,15814801,33176649,31951835,31059087,30933849,31791357,31732449,31671372,28280849,28247333,30352316,26114860,26117230,32977419,33058918,16417967,27498777,27584055,27534446,34364303,34279788,34404209,29262843,29207498,29196883,30421460,31401385,27009601,35742931,31232472,30978489,30810907,30841450,30783196,30787269,30441775,30466621,35803929,24412329,29649522,35457238,35065082,27364890,17727827,33122120,33641782,28958936,28991528,28984087,28986232,18474101,32721448,32087283,32747020,32761299,32671618,26231448,25586882,33900518,33461598,35668454,35550840,28622577,28623717,28627590,22804247,28728000,22207656,23458198,23500882,29970291,23977201,31426492,23384839,35418806,34124763,34071302,34946726,34063571,34069782,28473732,35204767,35199308,29775624,29720230,30884890,29338785,23698769,30207190,24618100,34850494,34775235,34780806,34941735,34991625,27666480,22666629,23419834,26960267,17499198	PubChem
ENSG00000007372	25089088,34780749,20976472,25767075,30800669,19788394,33327933,11818560,17067292,28363755,23020188,24636737,35247479,28434161	miRTex,PubChem
ENSG00000007952	23827392,22098189,24086556,30736297,26809317,30811529,30513656,25399812,29132391,28095923,19450058,27260166,23848532,30240590,29665408,29567067	PubChem
ENSG00000008056	21699982,34404758,31148170,35701839,33914237,22182688,24662516,26523794,25445382,25467131,24841483,26116815,22723079,29260495,18761383,26556726,26996233,28836295,32495180,33352833,33666886,33671094,33798505,26222254,32276517,21674238,26269422,32892745,33129359,28502042	PubChem
ENSG00000008869	28710524,28887694,9013393	PubChem
ENSG00000009724	14523625,19906332,23768098,18851950,16978060,14513261,29428877	PubChem
ENSG00000010256	33141179,19332121	PubChem
