gene	PMID_PMCID	evidence
ENSG00000272036	17761882,29986767	RNAdisease
ENSG00000272036	29986767,31799764	RNAdisease
ENSG00000207708	23771700,29631008,29935433,29986767,33070521,33204711,33800495,35199307	RNAdisease
ENSG00000284353	17761882,29986767	RNAdisease
ENSG00000284182	17761882,23717260,29986767,33748099	RNAdisease
ENSG00000283819	17761882,23939409,29986767,32492291,33800495,35111747	RNAdisease
ENSG00000276365	23771700,29986767,32733234	RNAdisease
ENSG00000283733	29986767,32585840	RNAdisease
ENSG00000283733	29986767,33800495,33817253	RNAdisease
ENSG00000199085	23939409,29986767,32807513	RNAdisease
ENSG00000199122	24959119,29986767	RNAdisease
ENSG00000207782	23717260,23771700,29986767,32077254	RNAdisease
ENSG00000207782	23771700,29986767,34515176	RNAdisease
ENSG00000254324	22003392,29986767,35111747	RNAdisease
ENSG00000254324	22003392,29986767,33800495,34315539	RNAdisease
ENSG00000207978	29986767,31799764,32860338	RNAdisease
ENSG00000283904	29986767,32585840,32728898	RNAdisease
ENSG00000283904	29986767,35111747	RNAdisease
ENSG00000283785	17761882,29986767	RNAdisease
ENSG00000283785	29986767,32807513	RNAdisease
ENSG00000207779	29986767,33045885,33506036	RNAdisease
ENSG00000006007	23771700,25054189,29986767	RNAdisease
ENSG00000006007	21295623,23771700,26497684,29986767	RNAdisease
ENSG00000284536	17761882,23771700,29986767	RNAdisease
ENSG00000284536	23771700,29986767	RNAdisease
ENSG00000207613	23543376,23771700,29986767,33070521	RNAdisease
ENSG00000207768	23771700,29986767	RNAdisease
ENSG00000207768	23771700,29986767	RNAdisease
ENSG00000207614	23543376,29986767,33070521	RNAdisease
ENSG00000207639	29986767,34018309	RNAdisease
ENSG00000284375	22003392,24648008,25675938,26497684,29986767	RNAdisease
ENSG00000207607	17761882,23939409,29986767,33800495	RNAdisease
ENSG00000207935	17761882,23771700,29986767	RNAdisease
ENSG00000207935	29986767,32457573,32687247,35111747	RNAdisease
ENSG00000284485	23125283,29986767	RNAdisease
ENSG00000284485	29986767	RNAdisease
ENSG00000207604	29986767,33425889,35111747	RNAdisease
ENSG00000283762	23717260,29986767	RNAdisease
ENSG00000283762	29986767,34249133	RNAdisease
ENSG00000284190	23492776,23717260,24648008,27173998,29986767,32728898	RNAdisease
ENSG00000199038	17761882,23717260,29986767	RNAdisease
ENSG00000267195	23771700,29986767,32442477	RNAdisease
ENSG00000283844	26349993,29986767,33070521,35199307	RNAdisease
ENSG00000207798	29986767,32140823	RNAdisease
ENSG00000283824	21295623,23771700,26497684,27631550,29986767,31799764,32860338,34078425	RNAdisease
ENSG00000283824	23771700,29986767,33800495,34315539	RNAdisease
ENSG00000207870	24055409,27748571,29405726,29986767,30107296,34315950,35199307	RNAdisease
ENSG00000207725	23938262,24055409,29986767,33800495	RNAdisease
ENSG00000284567	24648008,24959119,29986767,31800144	RNAdisease
ENSG00000284567	29986767	RNAdisease
ENSG00000284363	17761882,23492776,23771700,29986767	RNAdisease
ENSG00000284363	29986767	RNAdisease
ENSG00000207547	17761882,29986767,32415937	RNAdisease
ENSG00000199075	17761882,22003392,29986767,32728898	RNAdisease
ENSG00000199075	21295623,22003392,23771700,29986767	RNAdisease
ENSG00000199121	17761882,23492776,29986767	RNAdisease
ENSG00000199121	29986767	RNAdisease
ENSG00000207808	29986767,32807513,33171483	RNAdisease
ENSG00000207864	23771700,29986767,33171483	RNAdisease
ENSG00000207651	22003392,23771700,26497684,29986767	RNAdisease
ENSG00000207651	22003392,23771700,29986767,34315539	RNAdisease
ENSG00000284032	21295623,24648008,25596505,25675938,29986767,34149802,34184078	RNAdisease
ENSG00000284214	21295623,22003392,24648008,25675938,26497684,29986767,32160394,32546033	RNAdisease
ENSG00000207996	22003392,26497684,29986767	RNAdisease
ENSG00000212102	23492776,29986767	RNAdisease
ENSG00000284463	29986767,32474958	RNAdisease
ENSG00000207582	22003392,26497684,29936662,29986767,32154657	RNAdisease
ENSG00000207582	25596505,29986767	RNAdisease
ENSG00000199177	23771700,29986767,33070521	RNAdisease
ENSG00000208037	17761882,23717260,29986767,35111747	RNAdisease
ENSG00000199069	29986767,31799764,32860338	RNAdisease
ENSG00000199053	24959119,29986767	RNAdisease
ENSG00000199090	17761882,23771700,29986767	RNAdisease
ENSG00000284544	23771700,25284245,29986767,33325083	RNAdisease
ENSG00000284544	23771700,25284245,29986767,31799764	RNAdisease
ENSG00000199172	17761882,26497684,29986767	RNAdisease
ENSG00000199172	23543376,26497684,29986767	RNAdisease
ENSG00000199043	22003392,29986767,32585840	RNAdisease
ENSG00000199043	29986767,32585840	RNAdisease
ENSG00000283604	29986767,31799764,33045885	RNAdisease
ENSG00000199023	25284245,29986767	RNAdisease
ENSG00000199023	24959119,25284245,29986767,34381349	RNAdisease
ENSG00000198995	23771700,29986767	RNAdisease
ENSG00000199082	23771700,29986767,30362546	RNAdisease
ENSG00000199082	23771700,29986767	RNAdisease
ENSG00000284357	17761882,23771700,25541488,28259991,29631008,29986767,30221494,30267378,34921567	RNAdisease
ENSG00000284357	23771700,29986767,33416118,33748099	RNAdisease
ENSG00000207811	21558425,22245218,24892887,24959119,25541488,29986767,34204164	RNAdisease
ENSG00000207811	29986767	RNAdisease
ENSG00000207562	21558425,22245218,23771700,25541488,29986767	RNAdisease
ENSG00000207562	29986767,33748099,33800495	RNAdisease
ENSG00000199025	29986767,35090094	RNAdisease
ENSG00000199005	17761882,26497684,29986767,33800495	RNAdisease
ENSG00000199143	23492776,29986767	RNAdisease
ENSG00000199143	29986767	RNAdisease
ENSG00000199168	22003392,29986767	RNAdisease
ENSG00000199168	29986767,34315539	RNAdisease
ENSG00000212027	29986767,34315539	RNAdisease
ENSG00000283534	29986767,33984130	RNAdisease
ENSG00000198973	23771700,29986767,32457573	RNAdisease
ENSG00000283279	17761882,29986767	RNAdisease
ENSG00000283170	23771700,29986767,31799764	RNAdisease
ENSG00000199107	26497684,29986767,31799764,35111747	RNAdisease
ENSG00000199092	29986767,31799764	RNAdisease
ENSG00000283935	23771700,29986767,32457573,33464446,35111747	RNAdisease
ENSG00000264633	27217159,29986767	RNAdisease
ENSG00000208001	29986767,31799764	RNAdisease
ENSG00000208001	29986767,33045885,33800495	RNAdisease
ENSG00000207569	18252210,26070653,26497684,28690499,28986288,29986767,31799764,33800495	RNAdisease
ENSG00000265673	29986767,35111747	RNAdisease
ENSG00000284565	23939409,24648008	RNAdisease
ENSG00000265991	26670097,29986767	RNAdisease
ENSG00000284565	29986767,35111747	RNAdisease
ENSG00000207726	29986767,34536521	RNAdisease
ENSG00000284361	29986767,33918274	RNAdisease
ENSG00000208027	25284245,26497684,29986767,33800495,34279788	RNAdisease
